싱글맘맘이야,여우자매,대학원 탈출일지,오사와 오폐수들,저승파견고용직,우리 카페 사장님이 이상하다,"괜찮아, 고3이야",우리집 강아지는 복슬강아지,지극히 평범한 생활,아빠는 N살,낮잠 자는 사람들,깜빡깜빡,루텔,구나의 그랬구나,아스테리스크,아오링도쿄,잔액이 부족합니다,운명...인가요?,발버둥치다,국제결혼개그만화,실험학교,오늘을 담다.,방구석수필,좀비 패밀리,(Old)악마법소녀,서툴고 어리숙해도 좋아하는,정령왕즈,쿤도덥브라더스,생각보다 잘 자랐습니다,몬스터 커맨더F,생존일지,시크릿가족,무엇이든 그려드립니닷!,카나와 초나의 독일,그래도 하루는,죽음과 동화,감각의 어빌러티,천상대전,AI폰 아리랑,채채쓰의 웃픈일기,방에 콕! 진댕,무존재감
"('재밌게', 14)","('귀여워', 47)","('귀여워요', 15)","('앙큼한', 7)","('좋아요', 8)","('바쁘실텐데', 4)","('좋아하는', 45)","('귀여워', 21)","('귀여워요', 4)","('귀여워', 15)","('좋은', 23)","('좋은', 16)","('좋은', 12)","('좋은', 22)","('좋은', 18)","('좋아요', 27)","('귀여워요', 8)","('좋은', 15)","('좋겠어요', 37)","('귀여워요', 21)","('착하다', 24)","('좋은', 51)","('좋은', 79)","('귀여워', 47)","('좋은', 82)","('좋아요', 17)","('귀여워', 32)","('귀여워', 28)","('좋은', 33)","('같습니다', 12)","('미친', 8)","('유익한', 30)","('있을까요', 25)","('좋은', 23)","('좋은', 26)","('좋은', 22)","('나쁜', 5)","('재밌어요', 20)","('유일하게', 4)","('귀여워요', 7)","('귀여워', 7)","('재밌어요', 20)"
"('좋아요', 14)","('좋은', 41)","('재밌어요', 13)","('귀여워요', 6)","('짠하다', 8)","('좋은', 4)","('궁금해요', 33)","('귀여워요', 15)","('좋겠어요', 3)","('귀엽다', 11)","('따뜻한', 20)","('없고', 10)","('미친', 11)","('귀여운', 16)","('귀여워', 15)","('재밌어요', 27)","('작은', 8)","('좋아요', 14)","('좋아요', 30)","('귀여워', 14)","('좋은', 21)","('아쉬워요', 39)","('좋아요', 13)","('귀엽다', 21)","('좋아요', 38)","('재밌어요', 11)","('좋아요', 17)","('좋은', 14)","('많은', 11)","('재미있게', 11)","('싫어요', 5)","('좋은', 20)","('어떤', 17)","('좋아하는', 8)","('힘든', 24)","('미친', 8)","('좋아요', 4)","('좋은', 16)","('편히', 4)","('기대할게요', 6)","('귀엽고', 5)","('재밌다', 9)"
"('재밌어요', 14)","('좋아요', 22)","('재밌게', 12)","('부럽다', 6)","('좋아', 7)","('재밌게', 3)","('좋은', 31)","('귀엽다', 15)","('이상한', 3)","('귀여워요', 7)","('중요한', 17)","('건강하게', 10)","('궁금합니다', 10)","('많은', 15)","('귀엽다', 10)","('좋은', 22)","('많아요', 6)","('좋아', 11)","('많은', 27)","('좋아요', 11)","('귀여워', 10)","('따뜻한', 29)","('많은', 13)","('귀여워요', 12)","('좋겠어요', 32)","('재밌다', 9)","('귀엽다', 11)","('귀여워요', 13)","('아닐까', 11)","('귀여워', 11)","('재밌다', 5)","('많은', 14)","('좋은', 13)","('좋겠어요', 8)","('아픈', 20)","('같습니다', 8)","('재미있어요', 4)","('재밌게', 12)","('있었으면', 3)","('당할', 6)","('귀여워요', 4)","('좋아요', 8)"
"('좋은', 13)","('미친', 21)","('좋아요', 7)","('좋은', 5)","('아님', 7)","('멋지다', 3)","('재밌게', 31)","('귀여운', 10)","('재밌어요', 3)","('귀여운', 5)","('좋아요', 14)","('그럴', 9)","('괜찮아', 9)","('좋겠어요', 12)","('좋겠어요', 8)","('잔잔한', 9)","('없음', 6)","('있을게요', 9)","('안녕하세요', 24)","('재밌어요', 9)","('나쁜', 10)","('궁금해요', 20)","('안녕하세요', 12)","('귀엽고', 8)","('미친', 28)","('재미있어요', 8)","('귀엽고', 10)","('좋은데', 10)","('좋겠어요', 11)","('좋은', 8)","('재밌어요', 4)","('있다는', 11)","('궁금해요', 9)","('어떤', 8)","('아프고', 16)","('재밌게', 8)","('아니죠', 4)","('재밌네', 9)","('재밌어요', 3)","('나쁜', 6)","('그러고', 4)","('좋겠어요', 6)"
"('대단하세요', 9)","('좋겠다', 18)","('좋은', 6)","('있는데요', 4)","('솔직히', 6)","('아니죠', 3)","('많으셨어요', 30)","('귀엽', 7)","('없으면', 3)","('아니야', 5)","('귀여워요', 13)","('비슷한', 9)","('좋아하는', 9)","('힘든', 12)","('좋겠다', 8)","('궁금해요', 9)","('없다고', 5)","('죄송합니다', 8)","('반가워요', 22)","('재밌게', 9)","('좋아요', 9)","('맛있어', 18)","('좋겠어요', 9)","('좋아요', 6)","('아닐까', 25)","('아니야', 7)","('새로운', 9)","('좋아요', 7)","('어떤', 10)","('아님', 6)","('유일하게', 4)","('올바른', 11)","('어떨까', 9)","('많은', 7)","('아니지만', 14)","('예쁜', 8)","('그런지', 3)","('좋아요', 8)","('죄송합니다', 3)","('좋아서', 5)","('귀여우셔', 3)","('미친', 6)"
"('좋겠어요', 7)","('좋아', 17)","('재밌어', 6)","('아니에요', 4)","('같아서', 6)","('귀여워요', 3)","('있다면', 22)","('많은', 4)","('솔직히', 2)","('아니야아아아', 4)","('재밌게', 13)","('있을게요', 9)","('좋아', 9)","('귀여워요', 12)","('씁쓸함을', 8)","('슬프네요', 8)","('좋은', 5)","('재미있게', 7)","('어떤', 21)","('좋은', 9)","('미친', 8)","('아쉽네요', 18)","('비슷한', 7)","('좋아', 6)","('강한', 24)","('이상한', 6)","('재밌어요', 9)","('좋겠어요', 6)","('아니지만', 8)","('자세한', 6)","('어떡해', 4)","('좋겠습니다', 9)","('많은', 8)","('재밌게', 6)","('행복한', 13)","('건강하시고', 8)","('있었습니다', 3)","('재밌는데', 8)","('소중한', 3)","('귀여워', 5)","('귀엽다', 3)","('기대할게요', 4)"
"('굵다', 7)","('좋겠네요', 16)","('없음', 6)","('편하게', 4)","('작은', 6)","('좋아요', 3)","('어떤', 14)","('좋은', 4)","('비쌈', 2)","('귀엽당', 3)","('멋진', 10)","('무섭네', 9)","('없다', 8)","('좋아요', 11)","('재밌게', 7)","('좋네요', 7)","('없어서', 5)","('있었는데', 7)","('같아서', 18)","('재밌는', 8)","('행복하게', 8)","('재밌게', 16)","('멋진', 7)","('귀여운', 5)","('좋아하는', 22)","('좋겠어요', 5)","('좋다', 8)","('충분히', 5)","('없는데', 8)","('재밌네', 5)","('슬프다', 4)","('좋아요', 8)","('부탁드려요', 7)","('좋아요', 6)","('아프면', 12)","('행복한', 8)","('귀엽', 2)","('빠른', 8)","('귀엽다', 3)","('좋은', 5)","('무겁군요', 2)","('좋습니다', 4)"
"('쓰리', 6)","('귀엽고', 16)","('같아서', 5)","('재밌어', 4)","('있지만', 5)","('대단하고', 3)","('좋아하시는', 13)","('귀여워서', 4)","('슬퍼요', 2)","('배고파서', 3)","('같아서', 8)","('좋아하는', 8)","('고마워요', 8)","('따뜻한', 8)","('좋은데', 5)","('재미있어요', 6)","('없죠', 4)","('좋겠다', 7)","('있다는', 16)","('예뻐요', 7)","('행복할', 8)","('좋아요', 15)","('좋네요', 7)","('귀엽네요', 4)","('좋겠네요', 19)","('재밌어', 5)","('예쁘고', 8)","('없고', 5)","('있었는데', 7)","('심심하신', 5)","('귀여운', 4)","('반갑습니다', 8)","('좋아하는', 7)","('같지만', 6)","('힘들', 11)","('즐거운', 7)","('안됩니까', 2)","('무리하지', 7)","('있음', 3)","('많아요', 5)","('아픈', 2)","('꾸준히', 3)"
"('많은', 6)","('솔직히', 16)","('재미있게', 5)","('재밌어요', 4)","('어떡해', 5)","('멋있어', 2)","('미친', 12)","('좋겠다', 4)","('아니에요', 2)","('귀엽자', 2)","('재밌어요', 7)","('좋아요', 8)","('아닌데', 8)","('귀여워', 8)","('좋겠네요', 5)","('슬퍼요', 5)","('차가', 4)","('재밌어', 7)","('있지만', 16)","('궁금해요', 6)","('아프지', 7)","('어떤', 15)","('고맙습니다', 6)","('좋다', 4)","('재밌게', 19)","('좋고', 5)","('좋은', 8)","('이쁜', 5)","('그랬어요', 7)","('좋겠습니다', 5)","('재밌네요', 4)","('나쁜', 8)","('행복한', 7)","('좋고', 6)","('싫었어요', 10)","('좋겠습니다', 7)","('있네', 2)","('부탁드립니다', 6)","('싫어', 3)","('귀엽고', 4)","('괜찮게', 2)","('무섭다', 3)"
"('있었는데', 5)","('좋은데', 14)","('다행히', 5)","('없고', 4)","('불쌍하다', 5)","('수많은', 2)","('좋아요', 12)","('사랑스럽네요', 3)","('당하는', 2)","('똑같은', 2)","('궁금해', 5)","('많은', 8)","('궁금해요', 8)","('귀엽고', 7)","('예쁘다', 5)","('좋겠어요', 5)","('같아서', 4)","('재밌어요', 6)","('꾸준히', 15)","('어렵네요', 5)","('없어', 7)","('반가워요', 15)","('좋습니다', 6)","('재밌게', 4)","('좋아', 16)","('아닐', 4)","('아닐까', 7)","('귀여운', 5)","('행복한', 7)","('좋아요', 5)","('좋아요', 4)","('아님', 8)","('아픈', 6)","('있네요', 6)","('아닌데', 9)","('없나요', 6)","('죄송해요', 2)","('재미있어요', 6)","('재밌다', 3)","('좋아요', 4)","('아프면', 2)","('재미있습니다', 2)"
