negative,neutral,positive,웹툰
382.29254635400025,64.59937329499996,455.3824983250006,싱글맘맘이야
2158.302014336002,336.0267193690008,1892.6363945879903,여우자매
626.9805431140003,112.03069436999986,546.550848590001,대학원 탈출일지
433.2548169619999,70.52189072399992,406.0333639820007,오사와 오폐수들
580.4749632010007,95.6377934269999,536.5037754210002,저승파견고용직
88.87133868100001,10.808295981,82.17172311,우리 카페 사장님이 이상하다
1123.9911212449974,197.44883478600025,1387.1485042099976,"괜찮아, 고3이야"
151.763631357,19.632077842999998,119.51928035100003,우리집 강아지는 복슬강아지
114.99059619499998,21.759851227000002,126.39687868400001,지극히 평범한 생활
77.80080970199997,12.177918054000001,108.265876232,아빠는 N살
405.5080460890003,84.96435748499995,431.2985654220008,낮잠 자는 사람들
1037.6153567230008,236.4390531850006,1112.6777966409982,깜빡깜빡
1315.7913777479953,214.46571521600026,1237.6616894689967,루텔
522.7938037210002,82.928752875,583.4806170119998,구나의 그랬구나
362.0844744050005,44.67996815299996,261.7191980809999,아스테리스크
329.3778856969998,46.24739758999995,428.9870540080007,아오링도쿄
375.07324186800037,68.01613312399999,311.77574634300026,잔액이 부족합니다
252.33936916200028,39.16915346600002,284.0567607890001,운명...인가요?
1970.04994169098,389.40175278300245,2289.7121891569923,발버둥치다
322.7732446540002,40.75573157599998,291.17572224400004,국제결혼개그만화
632.6097862040001,119.82532581999995,552.8860180280008,실험학교
396.95659016300067,61.55277540699997,631.2592028390013,오늘을 담다.
325.239842742,58.16084313799992,527.1538457410011,방구석수필
221.10026292800006,40.39640928699999,186.03615659999988,좀비 패밀리
1773.0680614039886,329.9908369010015,2116.08970472599,(Old)악마법소녀
171.84056944099999,29.156157353000008,161.629813098,서툴고 어리숙해도 좋아하는
747.1600748739997,134.40003897599988,686.4511962930001,정령왕즈
219.62511701100001,32.023066057,268.75476651899993,쿤도덥브라더스
582.3249769690003,98.21364769799989,664.3356000040005,생각보다 잘 자랐습니다
457.9509001860002,69.72678812199996,403.22611670400033,몬스터 커맨더F
220.58669696600012,38.270653833,222.58667582299992,생존일지
633.7549769350011,112.37665058799986,682.481112698,시크릿가족
897.7697570170012,174.28008446900017,774.2949119150011,무엇이든 그려드립니닷!
455.48444859899973,116.95852050899984,622.1787625060001,카나와 초나의 독일
619.9474800900001,115.27125481299974,680.4651193460007,그래도 하루는
670.8356391449994,97.44026588699985,553.3046628440013,죽음과 동화
140.5933560010001,22.795267758,114.90345444,감각의 어빌러티
428.2951696400007,83.3050264339999,458.5764391690013,천상대전
140.46076402399996,31.737251828,112.71903574099996,AI폰 아리랑
192.24718347900003,39.960745361999976,193.784248664,채채쓰의 웃픈일기
78.86779802999999,10.626543353999997,65.478980619,방에 콕! 진댕
51.51745025199998,9.727834607999997,53.406035231999994,무존재감
